Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
1	0.	0.12231	-0.11741	0.
2	0.	0.23242	-0.10691	0.
3	0.	0.34253	-9.6397e-002	0.
4	0.	0.45264	-8.5889e-002	0.
5	0.	0.56275	-7.5381e-002	0.
6	0.	0.67286	-6.4873e-002	0.
7	0.	0.78297	-5.4364e-002	0.
8	0.	0.89309	-4.3856e-002	0.
9	1.0366e-010	1.0032	-3.3348e-002	0.
10	0.	1.0248	-2.2541e-002	0.
11	2.7648e-018	-0.12574	-2.6534e-002	0.
12	-5.2804e-018	-0.11753	-5.1986e-002	0.
13	-5.5131e-017	-8.645e-002	-9.5084e-002	0.
14	3.701e-018	-4.0594e-002	-0.12193	0.
15	-1.1001e-007	1.2201e-002	-0.12792	0.
16	-1.9004e-017	0.12325	-0.12737	0.
17	-1.82e-017	0.23337	-0.11687	0.
18	-1.7305e-017	0.34348	-0.10636	0.
19	-1.6683e-017	0.4536	-9.5847e-002	0.
20	-1.4539e-017	0.56372	-8.5338e-002	0.
21	-1.0932e-018	0.67383	-7.4829e-002	0.
22	1.8255e-017	0.78395	-6.432e-002	0.
23	3.5636e-017	0.89407	-5.3811e-002	0.
24	0.	1.0042	-4.3302e-002	0.
25	5.8221e-017	1.0323	-2.9286e-002	0.
26	0.	1.0437	3.5195e-008	0.
27	2.8863e-010	1.0336	3.5049e-008	0.
28	2.2768e-018	-0.13557	-2.8574e-002	0.
29	-2.9599e-017	-0.12671	-5.6038e-002	0.
30	3.5118e-017	-9.3207e-002	-0.10249	0.
31	-1.2198e-017	-4.3776e-002	-0.13142	0.
32	0.	1.3134e-002	-0.13788	0.
33	0.	-0.12851	0.	0.
34	0.	-0.13855	0.	0.
35	3.	0.12162	3.6358e-002	5.9367e-002
36	2.8421	0.10853	3.5363e-002	8.6749e-002
37	2.6842	9.5431e-002	3.4258e-002	0.1132
38	2.5263	8.2315e-002	3.3046e-002	0.13941
39	2.3684	6.9186e-002	3.1728e-002	0.16067
40	2.2105	5.6043e-002	3.0307e-002	0.17458
41	2.0526	4.2888e-002	2.8783e-002	0.18114
42	1.8947	2.9723e-002	2.7158e-002	0.17945
43	1.7368	1.6549e-002	2.5431e-002	0.17101
44	1.5789	3.3674e-003	2.3603e-002	0.15698
45	1.421	-9.82e-003	2.1677e-002	0.13842
46	1.2631	-2.3012e-002	1.9651e-002	0.11771
47	1.1052	-3.6206e-002	1.7527e-002	9.6113e-002
48	0.94731	-4.9402e-002	1.5307e-002	7.5336e-002
49	0.78942	-6.2597e-002	1.2991e-002	5.5855e-002
50	0.63153	-7.579e-002	1.058e-002	3.8747e-002
51	0.47365	-8.8979e-002	8.0757e-003	2.4882e-002
52	0.31577	-0.10216	5.4776e-003	1.3746e-002
53	0.15788	-0.11534	2.7862e-003	5.5742e-003
54	3.	0.11163	3.7319e-002	6.3851e-002
55	2.8421	9.8539e-002	3.627e-002	9.22e-002
56	2.6842	8.5433e-002	3.5112e-002	0.11927
57	2.5263	7.2313e-002	3.3847e-002	0.14511
58	2.3684	5.9178e-002	3.2477e-002	0.16603
59	2.2105	4.6031e-002	3.1004e-002	0.17963
60	2.0526	3.2872e-002	2.9428e-002	0.18584
61	1.8947	1.9704e-002	2.7751e-002	0.18376
62	1.7368	6.5264e-003	2.5973e-002	0.17492
63	1.5789	-6.6577e-003	2.4095e-002	0.16043
64	1.421	-1.9847e-002	2.2118e-002	0.1415
65	1.2631	-3.3041e-002	2.0042e-002	0.12051
66	1.1052	-4.6237e-002	1.7869e-002	9.8553e-002
67	0.94731	-5.9434e-002	1.5599e-002	7.7382e-002
68	0.78942	-7.2629e-002	1.3233e-002	5.7445e-002
69	0.63153	-8.5823e-002	1.0773e-002	3.9997e-002
70	0.47365	-9.9013e-002	8.2201e-003	2.5752e-002
71	0.31577	-0.1122	5.5736e-003	1.4335e-002
72	0.15788	-0.12538	2.8341e-003	5.826e-003
73	0.15789	-3.4065e-002	-0.12537	5.7998e-003
74	0.15789	-8.1985e-002	-9.705e-002	5.8621e-003
75	0.15789	-0.11428	-5.1714e-002	5.8434e-003
76	0.15788	-0.1227	-2.496e-002	5.8223e-003
77	0.31578	-2.4333e-002	-0.11932	1.2574e-002
78	0.31578	-7.0728e-002	-9.1637e-002	1.3654e-002
79	0.31577	-0.10182	-4.7453e-002	1.4172e-002
80	0.31577	-0.10981	-2.1426e-002	1.4273e-002
81	0.47367	-1.458e-002	-0.11328	2.2402e-002
82	0.47367	-5.9435e-002	-8.6253e-002	2.4395e-002
83	0.47366	-8.9322e-002	-4.3253e-002	2.5449e-002
84	0.47366	-9.69e-002	-1.7969e-002	2.5665e-002
85	0.63157	-4.8066e-003	-0.10724	3.3921e-002
86	0.63156	-4.8107e-002	-8.0898e-002	3.7392e-002
87	0.63155	-7.6796e-002	-3.9115e-002	3.9377e-002
88	0.63154	-8.3967e-002	-1.4591e-002	3.9815e-002
89	0.78946	4.9874e-003	-0.10121	4.9044e-002
90	0.78945	-3.6745e-002	-7.5572e-002	5.3699e-002
91	0.78944	-6.4241e-002	-3.5039e-002	5.6512e-002
92	0.78943	-7.1014e-002	-1.1293e-002	5.7177e-002
93	0.94735	1.4802e-002	-9.5184e-002	6.6254e-002
94	0.94734	-2.5348e-002	-7.0276e-002	7.2395e-002
95	0.94733	-5.1655e-002	-3.1027e-002	7.609e-002
96	0.94732	-5.8042e-002	-8.0739e-003	7.7069e-002
97	1.1052	2.4636e-002	-8.9166e-002	8.5533e-002
98	1.1052	-1.3917e-002	-6.501e-002	9.2767e-002
99	1.1052	-3.9041e-002	-2.7078e-002	9.7185e-002
100	1.1052	-4.5052e-002	-4.9363e-003	9.8222e-002
101	1.2631	3.4491e-002	-8.3153e-002	0.10556
102	1.2631	-2.4516e-003	-5.9775e-002	0.11373
103	1.2631	-2.6397e-002	-2.3195e-002	0.11889
104	1.2631	-3.2045e-002	-1.8809e-003	0.12013
105	1.421	4.4366e-002	-7.7148e-002	0.1246
106	1.421	9.048e-003	-5.4571e-002	0.13388
107	1.421	-1.3726e-002	-1.9378e-002	0.13974
108	1.421	-1.9023e-002	1.0913e-003	0.14112
109	1.5789	5.426e-002	-7.1149e-002	0.14186
110	1.5789	2.0581e-002	-4.9399e-002	0.15195
111	1.5789	-1.027e-003	-1.5628e-002	0.15848
112	1.5789	-5.9855e-003	3.9792e-003	0.16003
113	1.7368	6.4174e-002	-6.5156e-002	0.15511
114	1.7368	3.2149e-002	-4.426e-002	0.16591
115	1.7368	1.1698e-002	-1.1946e-002	0.1728
116	1.7368	7.0654e-003	6.7818e-003	0.17448
117	1.8947	7.4106e-002	-5.917e-002	0.16294
118	1.8947	4.3749e-002	-3.9153e-002	0.17425
119	1.8947	2.445e-002	-8.3328e-003	0.18156
120	1.8947	2.0129e-002	9.4986e-003	0.18332
121	2.0526	8.4056e-002	-5.3191e-002	0.16451
122	2.0526	5.5381e-002	-3.4079e-002	0.1762
123	2.0526	3.7226e-002	-4.7884e-003	0.18361
124	2.0526	3.3204e-002	1.2129e-002	0.18539
125	2.2105	9.4021e-002	-4.7218e-002	0.15804
